CCAA,Total_u,Conatos_u,Incendios_u,Total_ha,Arbolada_ha,No_arbolada_ha,Periodo
Andalucía,553,382,171,1493,101,1392,2010
Aragón,343,260,83,1144,574,570,2010
Principado de Asturias,1862,848,1014,7996,672,7323,2010
Illes Balears,100,85,15,606,431,175,2010
Canarias,111,101,10,199,13,186,2010
Cantabria,764,148,616,7922,632,7290,2010
Castilla y León,1173,782,391,8901,1530,7372,2010
Castilla - La Mancha,465,367,98,607,169,438,2010
Cataluña,475,434,41,619,261,358,2010
Comunitat Valenciana,328,261,67,5650,1505,4144,2010
Extremadura,550,332,218,2245,235,2010,2010
Galicia,3852,2875,977,14807,3035,11772,2010
Comunidad de Madrid,179,158,21,101,1,101,2010
Región de Murcia,139,122,17,763,490,273,2010
Comunidad Foral de Navarra,598,498,100,652,266,386,2010
País Vasco,116,69,47,783,247,536,2010
La Rioja,114,90,24,282,23,259,2010
Ceuta,0,0,0,0,0,0,2010
Melilla,0,0,0,0,0,0,2010
Andalucía,751,548,203,3053,325,2728,2011
Aragón,442,346,96,901,201,700,2011
Principado de Asturias,1793,1109,684,13992,1582,12410,2011
Illes Balears,158,129,29,2341,1699,642,2011
Canarias,99,86,13,59,8,51,2011
Cantabria,775,173,602,9671,557,9114,2011
Castilla y León,2194,1257,937,17622,2048,15573,2011
Castilla - La Mancha,745,528,217,2181,708,1473,2011
Cataluña,586,514,72,1098,215,883,2011
Comunitat Valenciana,419,333,86,2436,644,1792,2011
Extremadura,905,466,439,4453,932,3521,2011
Galicia,6342,4379,1963,42390,9270,33120,2011
Comunidad de Madrid,294,234,60,385,1,384,2011
Región de Murcia,130,114,16,476,358,119,2011
Comunidad Foral de Navarra,559,444,115,615,148,467,2011
País Vasco,140,97,43,425,141,284,2011
La Rioja,82,58,24,63,10,52,2011
Ceuta,0,0,0,0,0,0,2011
Melilla,0,0,0,0,0,0,2011
Andalucía,852,621,231,12833,2509,10325,2012
Aragón,541,412,129,8245,2564,5681,2012
Principado de Asturias,2246,1194,1052,16617,2110,14507,2012
Illes Balears,147,111,36,405,188,217,2012
Canarias,135,116,19,12399,7907,4493,2012
Cantabria,800,130,670,14038,1130,12908,2012
Castilla y León,2603,1531,1072,43557,15400,28157,2012
Castilla - La Mancha,1141,824,317,11771,7330,4440,2012
Cataluña,748,643,105,15027,7750,7277,2012
Comunitat Valenciana,467,346,121,56931,25939,30992,2012
Extremadura,1072,755,317,3482,1155,2328,2012
Galicia,3794,2716,1078,15598,5039,10559,2012
Comunidad de Madrid,399,313,86,2381,887,1494,2012
Región de Murcia,127,105,22,1480,1079,401,2012
Comunidad Foral de Navarra,661,453,208,1676,653,1022,2012
País Vasco,140,91,49,345,176,169,2012
La Rioja,105,77,28,109,17,92,2012
Ceuta,0,0,0,0,0,0,2012
Melilla,0,0,0,0,0,0,2012
Andalucía,785,557,228,2881,329,2551,2013
Aragón,217,181,36,348,38,310,2013
Principado de Asturias,1079,702,377,3332,474,2857,2013
Illes Balears,90,81,9,2845,1023,1823,2013
Canarias,102,87,15,220,48,172,2013
Cantabria,449,102,347,4925,348,4577,2013
Castilla y León,1254,811,443,12434,3303,9131,2013
Castilla - La Mancha,824,592,232,4908,1556,3351,2013
Cataluña,602,554,48,1060,696,364,2013
Comunitat Valenciana,335,271,64,1443,888,555,2013
Extremadura,700,409,291,5548,925,4623,2013
Galicia,3581,2755,826,19776,7747,12028,2013
Comunidad de Madrid,286,233,53,1334,212,1121,2013
Región de Murcia,112,101,11,83,14,69,2013
Comunidad Foral de Navarra,258,183,75,357,59,298,2013
País Vasco,92,64,28,170,44,126,2013
La Rioja,31,25,6,28,1,27,2013
Ceuta,0,0,0,0,0,0,2013
Melilla,0,0,0,0,0,0,2013
Andalucía,785,561,224,8144,568,7575,2014
Aragón,373,293,80,439,104,335,2014
Principado de Asturias,1629,982,647,7879,868,7011,2014
Illes Balears,103,97,6,60,17,43,2014
Canarias,60,53,7,40,4,37,2014
Cantabria,806,168,638,10106,670,9436,2014
Castilla y León,1386,939,447,4915,1084,3831,2014
Castilla - La Mancha,760,553,207,5369,2049,3320,2014
Cataluña,460,414,46,1569,992,577,2014
Comunitat Valenciana,499,392,107,1882,588,1293,2014
Extremadura,634,351,283,4217,448,3769,2014
Galicia,1227,998,229,1991,503,1488,2014
Comunidad de Madrid,363,297,66,364,1,363,2014
Región de Murcia,137,119,18,271,23,248,2014
Comunidad Foral de Navarra,331,223,108,933,272,661,2014
País Vasco,157,96,61,398,55,344,2014
La Rioja,95,74,21,112,14,98,2014
Ceuta,1,0,1,29,23,5,2014
Melilla,0,0,0,0,0,0,2014
Andalucía,817,579,238,14231,4089,10142,2015
Aragón,341,270,71,7856,4239,3617,2015
Principado de Asturias,1552,721,831,21825,5967,15857,2015
Illes Balears,77,68,9,107,34,73,2015
Canarias,89,76,13,107,30,77,2015
Cantabria,768,125,643,16359,1729,14630,2015
Castilla y León,1732,1165,567,13317,4275,9042,2015
Castilla - La Mancha,919,659,260,3716,762,2954,2015
Cataluña,509,442,67,1603,1070,534,2015
Comunitat Valenciana,315,267,48,2418,556,1862,2015
Extremadura,901,508,393,12782,4137,8645,2015
Galicia,2852,2121,731,12235,4544,7691,2015
Comunidad de Madrid,337,264,73,587,46,541,2015
Región de Murcia,130,111,19,642,563,79,2015
Comunidad Foral de Navarra,287,185,102,1084,464,621,2015
País Vasco,125,83,42,602,318,285,2015
La Rioja,58,41,17,282,25,257,2015
Ceuta,1,0,1,30,30,0,2015
Melilla,0,0,0,0,0,0,2015
Andalucía,757,611,146,3361,1066,2295,2016
Aragón,295,220,75,915,310,605,2016
Principado de Asturias,630,466,164,1544,231,1313,2016
Illes Balears,113,95,18,230,86,144,2016
Canarias,88,77,11,4824,3482,1342,2016
Cantabria,204,59,145,1285,257,1029,2016
Castilla y León,1344,918,426,11154,1771,9383,2016
Castilla - La Mancha,656,445,211,3411,2117,1294,2016
Cataluña,557,493,64,1884,941,942,2016
Comunitat Valenciana,340,280,60,6913,2422,4492,2016
Extremadura,703,388,315,6365,709,5656,2016
Galicia,2400,1872,528,21112,8846,12266,2016
Comunidad de Madrid,271,224,47,409,9,400,2016
Región de Murcia,113,99,14,439,290,149,2016
Comunidad Foral de Navarra,223,143,80,1731,563,1167,2016
País Vasco,75,54,21,144,19,124,2016
La Rioja,47,35,12,93,54,39,2016
Ceuta,1,0,1,3,0,3,2016
Melilla,0,0,0,0,0,0,2016
Andalucía,968,761,207,15608,10353,5255,2017
Aragón,464,359,105,908,256,651,2017
Principado de Asturias,1729,723,1006,27789,4420,23370,2017
Illes Balears,98,84,14,168,50,118,2017
Canarias,84,80,4,1950,775,1174,2017
Cantabria,742,101,641,11305,3073,8231,2017
Castilla y León,2673,1592,1081,39838,10503,29336,2017
Castilla - La Mancha,837,592,245,6331,4830,1501,2017
Cataluña,634,549,85,1274,527,747,2017
Comunitat Valenciana,348,315,33,1898,1206,692,2017
Extremadura,1025,564,461,7246,1107,6139,2017
Galicia,3249,2302,947,61902,29278,32623,2017
Comunidad de Madrid,344,293,51,259,10,248,2017
Región de Murcia,132,116,16,166,142,25,2017
Comunidad Foral de Navarra,306,149,157,1220,220,1000,2017
País Vasco,79,61,18,131,19,112,2017
La Rioja,81,64,17,241,70,171,2017
Ceuta,0,0,0,0,0,0,2017
Melilla,0,0,0,0,0,0,2017
Andalucía,655,517,138,3266,1207,2060,2018
Aragón,226,175,51,215,31,184,2018
Principado de Asturias,638,357,281,2055,197,1858,2018
Illes Balears,72,69,3,27,23,5,2018
Canarias,50,47,3,414,403,11,2018
Cantabria,568,188,380,4596,573,4023,2018
Castilla y León,909,649,260,2628,436,2192,2018
Castilla - La Mancha,548,421,127,1248,185,1063,2018
Cataluña,318,283,35,154,61,92,2018
Comunitat Valenciana,378,338,40,3721,304,3417,2018
Extremadura,680,393,287,3572,448,3124,2018
Galicia,1436,1189,247,2618,740,1878,2018
Comunidad de Madrid,255,234,21,102,3,100,2018
Región de Murcia,118,110,8,57,20,37,2018
Comunidad Foral de Navarra,208,122,86,312,62,250,2018
País Vasco,47,36,11,12,20,27,2018
La Rioja,35,26,9,57,28,29,2018
Ceuta,2,0,2,74,0,74,2018
Melilla,0,0,0,0,0,0,2018
Andalucía,912,724,188,5223,2817,2406,2019
Aragón,367,285,82,1295,585,709,2019
Principado de Asturias,1523,659,864,14740,2226,12514,2019
Illes Balears,107,99,8,104,27,77,2019
Canarias,64,51,13,9927,4234,5692,2019
Cantabria,783,351,432,11899,1894,10005,2019
Castilla y León,1711,1189,522,10473,2095,8378,2019
Castilla - La Mancha,862,634,228,7045,4475,2570,2019
Cataluña,547,489,58,5060,2120,2941,2019
Comunitat Valenciana,272,249,23,969,332,637,2019
Extremadura,905,479,426,5089,432,4658,2019
Galicia,1676,1294,382,6846,3053,3793,2019
Comunidad de Madrid,366,285,81,3088,1407,1681,2019
Región de Murcia,84,75,9,130,100,29,2019
Comunidad Foral de Navarra,504,281,223,1600,249,1351,2019
País Vasco,107,66,41,12,188,161,2019
La Rioja,91,80,11,72,17,55,2019
Ceuta,2,0,2,54,0,54,2019
Melilla,0,0,0,0,0,0,2019
Andalucía,769,560,209,27,11788,9383,2020
Aragón,275,215,60,22,841,132,2020
Principado de Asturias,1162,607,555,48,13389,876,2020
Illes Balears,78,69,9,12,88,10,2020
Canarias,71,65,6,8,6251,558,2020
Cantabria,672,197,475,71,10586,581,2020
Castilla y León,910,637,273,30,9089,711,2020
Castilla - La Mancha,632,434,198,31,3233,662,2020
Cataluña,290,259,31,11,3015,74,2020
Comunitat Valenciana,252,216,36,14,878,241,2020
Extremadura,654,368,286,44,6152,1494,2020
Galicia,1540,1209,331,21,5757,1965,2020
Comunidad de Madrid,241,200,41,17,1781,100,2020
Región de Murcia,92,78,14,15,420,390,2020
Comunidad Foral de Navarra,302,197,105,35,1595,244,2020
País Vasco,86,64,22,26,12,51,2020
La Rioja,42,36,6,14,57,2,2020
Ceuta,0,0,0,0,54,0,2020
Melilla,0,0,0,0,0,0,2020
