Genero,Edad,CCAA,Periodo,Total
Total,Todas las edades,Andalucía,2022,48
Total,Todas las edades,Andalucía,2021,49
Total,Todas las edades,Andalucía,2020,27
Total,Todas las edades,Andalucía,2019,23
Total,Todas las edades,Andalucía,2018,28
Total,Todas las edades,Andalucía,2017,47
Total,Todas las edades,Andalucía,2016,35
Total,Todas las edades,Andalucía,2015,28
Total,Todas las edades,Andalucía,2014,39
Total,Todas las edades,Andalucía,2013,20
Total,Todas las edades,Andalucía,2012,35
Total,Todas las edades,Andalucía,2011,32
Total,Todas las edades,Andalucía,2010,47
Total,Todas las edades,Andalucía,2009,26
Total,Todas las edades,Andalucía,2008,35
Total,Todas las edades,Andalucía,2007,40
Total,Todas las edades,Andalucía,2006,39
Total,Todas las edades,Andalucía,2005,43
Total,Todas las edades,Andalucía,2004,53
Total,Todas las edades,Andalucía,2003,53
Total,Todas las edades,Andalucía,2002,45
Total,Todas las edades,Andalucía,2001,47
Total,Todas las edades,Andalucía,2000,41
Total,Todas las edades,Andalucía,1999,43
Total,Todas las edades,Andalucía,1998,33
Total,Todas las edades,Andalucía,1997,22
Total,Todas las edades,Andalucía,1996,40
Total,Todas las edades,Andalucía,1995,30
Total,Todas las edades,Andalucía,1994,44
Total,Todas las edades,Andalucía,1993,24
Total,Todas las edades,Andalucía,1992,52
Total,Todas las edades,Andalucía,1991,51
Total,Todas las edades,Andalucía,1990,37
Total,Todas las edades,Andalucía,1989,50
Total,Todas las edades,Andalucía,1988,46
Total,Todas las edades,Andalucía,1987,34
Total,Todas las edades,Andalucía,1986,35
Total,Todas las edades,Andalucía,1985,57
Total,Todas las edades,Andalucía,1984,50
Total,Todas las edades,Andalucía,1983,55
Total,Todas las edades,Andalucía,1982,54
Total,Todas las edades,Andalucía,1981,62
Total,Todas las edades,Andalucía,1980,85
Total,Todas las edades,Aragón,2022,5
Total,Todas las edades,Aragón,2021,4
Total,Todas las edades,Aragón,2020,4
Total,Todas las edades,Aragón,2019,5
Total,Todas las edades,Aragón,2018,2
Total,Todas las edades,Aragón,2017,6
Total,Todas las edades,Aragón,2016,2
Total,Todas las edades,Aragón,2015,10
Total,Todas las edades,Aragón,2014,2
Total,Todas las edades,Aragón,2013,5
Total,Todas las edades,Aragón,2012,5
Total,Todas las edades,Aragón,2011,6
Total,Todas las edades,Aragón,2010,11
Total,Todas las edades,Aragón,2009,6
Total,Todas las edades,Aragón,2008,9
Total,Todas las edades,Aragón,2007,10
Total,Todas las edades,Aragón,2006,9
Total,Todas las edades,Aragón,2005,13
Total,Todas las edades,Aragón,2004,7
Total,Todas las edades,Aragón,2003,6
Total,Todas las edades,Aragón,2002,2
Total,Todas las edades,Aragón,2001,3
Total,Todas las edades,Aragón,2000,1
Total,Todas las edades,Aragón,1999,7
Total,Todas las edades,Aragón,1998,10
Total,Todas las edades,Aragón,1997,6
Total,Todas las edades,Aragón,1996,7
Total,Todas las edades,Aragón,1995,5
Total,Todas las edades,Aragón,1994,9
Total,Todas las edades,Aragón,1993,11
Total,Todas las edades,Aragón,1992,3
Total,Todas las edades,Aragón,1991,9
Total,Todas las edades,Aragón,1990,49
Total,Todas las edades,Aragón,1989,8
Total,Todas las edades,Aragón,1988,5
Total,Todas las edades,Aragón,1987,8
Total,Todas las edades,Aragón,1986,7
Total,Todas las edades,Aragón,1985,11
Total,Todas las edades,Aragón,1984,4
